Name,UnitID,WM_Rank,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state
Meredith College,198950,154,63%,141,66%,140,-11%,151,106,-5%,145,44551.0,49965,164,18737,137,0.0,122,150,125,66,15%,29,NO,6,12%,45,169,159,57,NC
Georgetown College,156745,155,53%,162,65%,191,-16%,180,59,-4%,130,48092.0,49213,113,13769,55,0.0,122,158,119,79,7%,106,NO,0,63%,1,174,164,36,KY
Wells College,197230,156,56%,157,51%,36,-12%,155,54,3%,71,46629.0,46720,89,17386,108,0.0,122,118,146,86,8%,93,NO,0,3%,117,129,129,173,NY
Maryville College,220710,157,57%,156,64%,171,-18%,185,98,3%,72,45861.0,49402,146,16899,103,0.0,122,156,109,112,10%,50,YES,4,10%,56,173,162,49,TN
Ohio Wesleyan University,204909,158,67%,120,71%,153,-12%,152,91,-1%,106,51881.0,53598,122,21175,169,0.4,95,103,93,85,17%,25,NO,0,5%,91,163,106,110,OH
Warren Wilson College,199865,159,52%,166,61%,187,-4%,88,64,13%,16,32895.0,47293,198,21943,176,0.0,122,100,14,112,3%,162,YES,3,5%,86,189,111,19,NC
Univ. of Pittsburgh–Greensburg*,215275,160,37%,185,60%,198,-4%,84,86,-1%,110,59853.0,51026,14,13749,54,0.0,122,166,180,28,0%,187,NO,0,8%,71,103,171,186,PA
Lane College,220598,161,28%,191,35%,175,-16%,181,164,23%,2,30364.0,32969,135,13959,57,0.0,122,186,165,91,8%,84,NO,0,10%,59,117,187,164,TN
Bridgewater College,231581,162,63%,143,64%,123,-12%,156,98,-7%,159,49335.0,50414,111,16526,96,0.0,122,164,79,89,10%,59,NO,0,4%,100,141,169,139,VA
Southwestern University,228343,163,72%,97,74%,122,-8%,124,88,-7%,157,58696.0,63382,158,20987,165,0.2,106,81,175,112,5%,125,NO,6,4%,103,164,92,140,TX
Aquinas College,168786,164,61%,145,58%,60,-10%,142,103,-13%,188,44270.0,48761,157,14671,65,0.0,122,160,153,112,7%,104,NO,0,15%,33,140,165,154,MI
Roanoke College,233426,165,69%,111,69%,106,-11%,147,106,-7%,155,53091.0,53339,94,20837,163,0.8,69,151,147,112,8%,75,NO,1,4%,99,146,136,160,VA
Hollins University,232308,166,61%,144,61%,90,-14%,170,53,5%,56,37641.0,38860,116,18307,126,0.0,122,131,132,112,8%,91,NO,1,5%,90,151,138,157,VA
Bethany College,237181,167,41%,177,49%,180,-21%,190,40,-10%,175,45649.0,44942,81,11805,37,0.0,122,92,67,112,0%,187,NO,0,32%,3,181,103,82,WV
Bryn Athyn College,210492,168,53%,161,46%,25,-6%,111,18,-1%,105,46215.0,48721,133,18148,119,0.2,115,183,180,77,10%,54,NO,0,13%,39,139,179,159,PA
Westmont College,125727,169,77%,78,76%,98,-3%,73,65,-4%,131,61662.0,63096,118,25361,193,0.2,114,113,102,51,2%,180,NO,0,0%,149,148,121,179,CA
Guilford College,198613,170,49%,171,55%,168,-9%,138,185,-8%,163,42780.0,49821,181,20021,153,0.0,122,93,121,112,18%,18,NO,0,4%,97,172,105,135,NC
Martin University,151810,171,10%,198,14%,156,-20%,187,24,18%,8,26631.0,19115,20,15050,71,0.0,122,180,152,112,9%,61,NO,0,11%,52,149,183,155,IN
Fisk University,220181,172,34%,188,48%,193,-16%,179,50,19%,6,42114.0,41215,78,22415,178,5.6,5,126,80,63,6%,119,NO,0,1%,139,185,41,158,TN
Bethany Lutheran College,173142,173,53%,160,61%,177,-5%,99,41,-8%,164,42936.0,48430,165,12346,42,0.0,122,188,127,56,7%,103,NO,0,14%,35,153,189,147,MN
Houghton College,191676,174,73%,91,62%,9,-27%,196,91,6%,45,42510.0,46876,153,23070,181,0.0,122,65,60,47,4%,156,NO,0,9%,64,183,83,125,NY
Oakwood University,101912,175,50%,169,48%,67,-14%,166,111,-4%,132,39571.0,41940,132,23812,187,0.4,91,97,143,112,6%,124,NO,0,24%,13,179,98,122,AL
Sweet Briar College,233718,176,45%,175,54%,182,-5%,101,27,-5%,136,49522.0,45242,46,19455,147,0.0,122,149,168,112,10%,52,NO,0,3%,126,155,156,175,VA
Gordon College,165936,177,72%,101,72%,108,-13%,159,90,-8%,167,50644.0,58050,184,20622,159,0.0,122,114,129,57,2%,175,NO,0,27%,5,180,128,113,MA
Westminster College,179946,178,57%,155,58%,116,-20%,188,54,3%,69,48496.0,49484,108,20150,157,0.0,122,69,159,23,9%,72,NO,0,7%,75,182,89,162,MO
Allen University,217624,179,21%,195,30%,186,-5%,98,46,18%,9,28108.0,35347,182,13582,51,0.0,122,190,162,62,6%,114,NO,1,0%,149,158,191,181,SC
Emmanuel College,165671,180,67%,118,72%,163,-8%,131,100,-7%,160,55943.0,58801,137,25225,192,0.0,122,165,141,68,7%,102,NO,1,16%,31,177,170,138,MA
Randolph-Macon College,233295,181,67%,124,67%,102,-6%,102,72,-16%,194,55932.0,56980,109,21298,170,0.0,122,163,158,76,3%,157,NO,0,0%,149,161,168,188,VA
Centenary College of Louisiana,158477,182,56%,158,63%,176,-10%,139,41,-6%,150,48338.0,53445,162,22204,177,0.0,122,52,103,112,4%,151,NO,0,12%,48,190,77,153,LA
Lyon College,106342,183,52%,164,61%,184,-8%,125,54,-5%,142,44380.0,56948,196,14584,61,0.0,122,124,149,18,18%,19,NO,0,3%,119,187,132,146,AR
Randall University,207157,184,35%,187,35%,109,-17%,183,13,-2%,117,40157.0,34137,28,14874,67,0.0,122,194,180,112,0%,187,NO,0,2%,133,152,194,193,OK
Oglethorpe University,140696,185,49%,173,66%,195,-13%,161,64,3%,70,52681.0,52997,95,17212,105,0.0,122,146,107,88,3%,168,NO,0,0%,149,175,152,180,GA
Pillar College,440794,186,33%,189,32%,84,-1%,58,41,-1%,112,35359.0,38887,145,19348,142,0.0,122,194,180,112,0%,187,NO,0,0%,142,159,194,195,NJ
Eckerd College,133492,187,66%,132,72%,174,-1%,51,106,-12%,184,47676.0,59744,193,29247,196,0.4,93,122,29,69,1%,183,NO,4,1%,140,194,124,84,FL
Hampden-Sydney College,232256,188,66%,130,69%,148,-8%,127,43,-21%,197,68069.0,67338,80,23268,184,0.0,122,139,157,6,9%,71,NO,0,0%,149,184,146,174,VA
Simpson University,123457,189,66%,131,51%,6,-43%,199,143,-2%,115,45532.0,44412,76,20694,162,0.0,122,178,176,112,13%,41,NO,0,19%,20,188,181,131,CA
Ave Maria University,446048,190,67%,125,62%,41,-13%,162,71,-12%,182,45331.0,57620,194,14692,66,0.0,122,176,178,112,5%,141,NO,0,10%,58,178,178,177,FL
Ouachita Baptist University,107512,191,63%,139,69%,169,-21%,192,71,-12%,181,45799.0,51863,168,17632,111,0.2,116,152,179,13,17%,26,NO,0,16%,26,192,154,112,AR
Southern Virginia University,233611,192,39%,182,48%,188,-26%,194,59,20%,5,37749.0,38505,102,18343,128,0.0,122,187,100,30,6%,123,NO,0,0%,149,186,188,169,VA
Marymount Manhattan College,192864,193,50%,170,63%,192,-7%,113,84,-16%,195,48321.0,44620,50,30980,197,0.0,122,175,41,112,5%,135,NO,0,2%,129,193,177,124,NY
Birmingham-Southern College,100937,194,68%,115,70%,133,-21%,191,39,-14%,191,53006.0,60485,185,18569,132,0.0,122,90,177,64,9%,66,NO,0,4%,107,195,102,178,AL
Young Harris College,141361,195,40%,179,52%,190,-31%,197,74,-25%,199,41956.0,45543,148,17704,113,0.0,122,185,110,112,45%,1,NO,0,9%,63,197,186,28,GA
Hebrew Theological College,145497,196,9%,199,37%,199,-6%,110,12,-21%,198,29171.0,29496,96,9815,23,0.0,122,194,180,112,1%,182,NO,0,0%,149,191,194,194,IL
East-West University,144883,197,14%,197,34%,197,-26%,195,35,21%,4,29841.0,38600,190,17992,118,0.0,122,194,180,112,5%,131,NO,0,0%,149,196,194,190,IL
Beulah Heights University,139153,198,28%,192,35%,172,-39%,198,39,-9%,172,28049.0,40543,195,10138,25,0.0,122,194,180,112,0%,187,NO,0,0%,149,198,194,196,GA
King's College,454184,199,52%,167,70%,196,-23%,193,34,-9%,171,53386.0,54192,105,31974,198,0.0,122,189,173,73,0%,187,NO,0,0%,149,199,190,192,NY
